STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
Adl Julianastr;;;0,1;0,3;0,1;0,3;0,1;0,1
DE:S:80000510;Markt;Elten;7,4;5,9;0,0;0,0;0,0;0,0
DE:S:80000530;Neustadt;Elten;3,2;3,3;0,0;0,0;0,0;0,0
DE:S:80000560;Hauberg;Elten;0,7;0,6;0,0;0,0;0,0;0,0
DE:S:80000570;Feldhausener Weg;Elten;0,1;0,9;0,0;0,0;0,0;0,0
NL:S:16000010;Station;Meppel;197,20000000000002;169,4;22,8;19,2;0,0;0,0
NL:S:16000260;Medisch Centrum;Meppel;2,5;4,2;0,4;0,6;0,0;0,0
NL:S:16000280;Gemeenteweg;Halfweg;0,3;0,2;0,3;0,1;0,0;0,0
NL:S:16000600;Burg. Knopperslaan;Meppel;1,6;2,4;0,0;0,0;0,0;0,0
NL:S:16000710;Steenwijkerstraatweg;Meppel;0,9;1,0;0,0;0,0;0,0;0,0
NL:S:16000800;De Stouwe;Meppel;30,1;41,6;0,9;1,1;0,0;0,0
NL:S:16000880;Reestplantsoen;Meppel;4,5;4,6;0,2;0,4;0,0;0,0
NL:S:16000910;Leonard Springerlaan;Meppel;0,7;1,1;0,0;0,0;0,0;0,0
NL:S:16001010;Hugo de Grootstraat;Meppel;8,2;9,3;0,0;0,0;0,0;0,0
NL:S:16002610;Prinsengracht;Meppel;2,4;2,0;0,7;1,3;0,0;0,0
NL:S:16100010;Perceel 3;Nijeveen;1,6;3,4;0,0;0,0;0,0;0,0
NL:S:16100030;Perceel 56;Kolderveen;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:16100050;Thijs van Urklaan;Kolderveen;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:16110060;Heerenweg;IJhorst;5,1;4,1;1,7;1,4;0,0;0,0
NL:S:16110081;Havixhorst;De Schiphorst;0,1;0,7;0,2;0,4;0,0;0,0
NL:S:16110090;Wiltenweg;De Wijk;0,3;4,1;0,3;0,9;0,0;0,0
NL:S:16110220;Willem Koopsweg;De Wolden;0,4;4,3;0,2;0,8;0,0;0,0
NL:S:16110230;Oosterakker;De Wijk;0,0;0,5;0,1;0,2;0,0;0,0
NL:S:16110240;Verzorgingstehuis;De Wijk;2,9;2,3;1,6;1,0;0,0;0,0
NL:S:16110260;Sparrenlaan;IJhorst;4,7;1,3;0,5;0,0;0,0;0,0
NL:S:16180050;Redder;Staphorst;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16180070;Reggersweg;Staphorst;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16180100;Vlakkenweg;Staphorst;5,7;5,7;0,3;0,5;0,0;0,0
NL:S:16180120;Geerligsland;Staphorst;3,0;3,7;0,2;0,2;0,0;0,0
NL:S:16180140;Jan Arendsland;Staphorst;6,5;9,4;0,2;1,0;0,0;0,0
NL:S:16180160;Snelweg;Staphorst;2,6;2,1;0,9;0,3;0,0;0,0
NL:S:16180180;Achthoevenweg;Staphorst;17,7;22,0;1,5;1,7;0,0;0,0
NL:S:16180200;Hoogeweg;Staphorst;33,8;34,9;4,8;3,3;0,0;0,0
NL:S:16180220;Bergerslag;Staphorst;32,7;37,4;4,7;5,5;0,0;0,0
NL:S:16180240;Gemeentehuis;Staphorst;33,7;34,2;4,9;3,5;0,0;0,0
NL:S:16180260;Lindenlaan;Staphorst;13,2;15,0;1,7;2,3;0,0;0,0
NL:S:16180280;Bejaardenhuis;Staphorst;9,7;8,9;1,4;1,1;0,0;0,0
NL:S:16180300;Prinses Beatrixstraat;Staphorst;11,9;11,5;3,8;4,6;0,0;0,0
NL:S:16180320;Boldewijnhuizen;Staphorst;1,5;1,5;0,2;0,3;0,0;0,0
NL:S:16180340;Pieter Zandt College;Staphorst;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:16280100;Oostermenneweg;Rouveen;3,4;5,5;0,5;0,6;0,0;0,0
NL:S:16280120;Zuideindigerweg;Rouveen;5,4;4,7;0,8;0,6;0,0;0,0
NL:S:16280140;Stadsweg;Rouveen;1,5;1,7;0,1;0,3;0,0;0,0
NL:S:16280160;Oude Rijksweg 485;Rouveen;1,3;1,6;0,2;0,3;0,0;0,0
NL:S:16280180;Hervormde Kerk;Rouveen;36,1;37,8;4,9;4,6;0,0;0,0
NL:S:16280200;Oude Rijksweg 415;Rouveen;4,2;4,0;0,2;0,3;0,0;0,0
NL:S:16280220;Oud Gereformeerde Kerk;Rouveen;1,8;2,2;0,2;0,2;0,0;0,0
NL:S:16280240;Conradsweg;Rouveen;4,0;4,3;0,3;0,1;0,0;0,0
NL:S:16280260;Schoolwijksweg;Rouveen;8,3;8,4;1,0;0,9;0,0;0,0
NL:S:16280280;Dekkersweg;Rouveen;5,6;5,7;0,5;0,4;0,0;0,0
NL:S:16300010;Gemeentehuis;Steenwijk;18,2;28,3;0,7;0,6;0,6;0,4
NL:S:16300030;Vendelweg;Steenwijk;10,6;11,8;3,2;2,2;3,3;1,6
NL:S:16300050;Matthijs Kiersstraat;Steenwijk;18,099999999999998;8,8;2,1;1,8;1,3;0,6
NL:S:16301010;Station;Steenwijk;226,5;225,7;154,0;132,5;140,2;122,7
NL:S:16380100;Haersterbroekweg;Zwolle;3,0;7,5;0,3;0,6;0,0;0,0
NL:S:16380120;Steenwetering;Lichtmis;0,9;1,4;0,4;0,4;0,0;0,0
NL:S:16380140;Meeleweg;Lichtmis;2,4;2,3;0,1;0,3;0,0;0,0
NL:S:16380190;Busstation;Lichtmis;80,9;81,0;2,6;3,3;0,0;0,0
NL:S:16580010;Noordeinde;Zwolle;2,1;2,6;0,7;0,9;0,2;0,2
NL:S:16580030;Westeinde;Zwolle;2,5;3,0;0,4;0,6;0,1;0,1
NL:S:16580050;Markteweg;Zwolle;2,3;7,5;0,5;0,6;0,2;1,0
NL:S:16580070;Kleefstraat;Zwolle;23,1;22,0;2,2;3,1;0,9;1,1
NL:S:16680010;Dedemsweg;Ruitenveen;4,1;3,9;1,1;1,3;2,0;2,3
NL:S:16680030;Kuitermansweg;Ruitenveen;5,1;5,2;2,1;2,0;1,3;1,2
NL:S:16680050;Nieuwe Kreuleweg;Ruitenveen;2,1;2,5;0,3;0,5;0,2;0,3
NL:S:16680070;Hoevenweg;Ruitenveen;4,8;5,3;1,9;2,1;1,2;1,2
NL:S:16680090;Middenweg;Ruitenveen;1,6;2,0;0,3;0,4;0,1;0,2
NL:S:16680110;Nieuwendijk;Ruitenveen;1,3;1,6;0,2;0,3;0,2;0,2
NL:S:16780001;Schuilhut;Nieuwleusen;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:16780010;De Vlijt;Nieuwleusen;7,3;8,3;1,8;2,0;1,5;1,7
NL:S:16780030;Oosterhulst;Nieuwleusen;1,4;2,0;0,5;0,6;0,2;0,4
NL:S:16780050;Den Hulst;Nieuwleusen;88,7;94,5;7,4;9,9;4,6;5,4
NL:S:16780070;Bejaardencentrum;Nieuwleusen;23,7;26,1;9,4;9,9;4,9;5,1
NL:S:16780080;Baron van Dedemstraat;Nieuwleusen;7,4;1,3;2,4;0,2;1,1;0,0
NL:S:16780090;Gereformeerde Kerk;Nieuwleusen;29,5;31,1;12,4;11,6;4,6;5,2
NL:S:16780110;Zwembad;Nieuwleusen;33,8;34,6;8,9;7,8;5,9;5,9
NL:S:16780130;Centrum;Nieuwleusen;64,0;70,2;22,2;18,7;10,5;11,1
NL:S:16780150;Westeinde;Nieuwleusen;22,3;25,1;4,0;4,7;2,4;2,6
NL:S:16780170;Bouwhuisweg;Nieuwleusen;9,4;9,6;3,1;2,7;1,3;1,6
NL:S:16780190;Molen;Nieuwleusen;4,9;5,8;1,5;1,4;0,9;1,0
NL:S:16780300;Grote Markt;Nieuwleusen;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:16780560;Rollecater Brug;Nieuwleusen;13,9;13,8;0,0;0,0;0,0;0,0
NL:S:17000010;Station;Hoogeveen;139,9;124,0;23,8;20,2;17,3;20,2
NL:S:17000210;Buizerdlaan;Hoogeveen;35,1;31,9;5,7;4,3;4,0;4,4
NL:S:17000710;Mr. Cramerweg P+R;Hoogeveen;12,2;10,6;3,2;1,8;1,9;1,4
NL:S:17001650;Willemskade;Hoogeveen;1,9;2,7;0,4;0,3;0,1;0,2
NL:S:17003020;Industrieweg;Hoogeveen;6,4;16,7;0,1;0,3;0,0;0,2
NL:S:17003040;Tamboerpassage;Hoogeveen;24,1;25,5;5,1;7,5;2,2;3,2
NL:S:17003120;Wolfsbosstraat;Hoogeveen;6,7;6,5;0,9;1,2;0,8;0,8
NL:S:17003140;Valkenlaan;Hoogeveen;5,6;4,6;0,6;0,5;0,6;0,7
NL:S:17003200;'t Haagje;Hoogeveen;8,5;10,3;1,4;2,0;1,0;0,8
NL:S:17190010;Buitenvaart;Hollandscheveld;5,6;6,3;0,3;0,4;0,2;0,2
NL:S:17190030;Opgaande 71;Hollandscheveld;2,1;2,5;0,3;0,4;0,3;0,3
NL:S:17190050;'t Hoekje;Hollandscheveld;20,0;20,3;2,4;2,6;1,4;1,8
NL:S:17190150;Carstensdijk;Zuideropgaande;5,8;6,1;0,7;1,0;0,4;0,4
NL:S:17190190;Schooldijkje;Zuideropgaande;0,2;0,3;0,1;0,0;0,0;0,0
NL:S:17290010;Riegshoogtendijk;Kerkenveld;0,3;0,3;0,0;0,0;0,0;0,1
NL:S:17290030;Gedempte Wijde Wijk;Kerkenveld;9,8;9,7;1,5;0,9;0,9;0,5
NL:S:17290050;Ritmeesterweg;Kerkenveld;1,3;1,1;0,2;0,0;0,0;0,1
NL:S:17290070;Riegshoogtendijk 3;Kerkenveld;0,1;0,1;0,0;0,1;0,0;0,0
NL:S:17290090;Hoogeveenseweg 33;Kerkenveld;1,2;1,0;0,1;0,2;0,0;0,2
NL:S:17290110;Braambergerweg;Kerkenveld;1,3;1,8;0,3;0,4;0,2;0,4
NL:S:17290130;Hoogeveenseweg 11;Kerkenveld;0,9;0,9;0,3;0,2;0,0;0,1
NL:S:17310030;Zwarte Dijkje;Noordscheschut;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:17350030;Riegshoogtendijk;Hollandscheveld;10,6;9,4;1,4;1,4;1,0;0,6
NL:S:17350050;Jan Wintersdijkje;Zuideropgaande;0,5;0,8;0,2;0,3;0,1;0,2
NL:S:17480030;Zwolseweg;Balkbrug;1,6;3,4;1,0;1,9;0,8;1,0
NL:S:17480050;d 'Olde Heerd;Balkbrug;16,4;14,9;4,6;4,7;2,4;2,3
NL:S:17480070;Zelhorstweg;Balkbrug;4,0;3,7;1,6;1,7;0,6;0,9
NL:S:17480090;Nieuweweg (Sluis 4);Balkbrug;4,7;5,2;1,5;2,0;0,9;0,9
NL:S:18500010;Noordikslaan;Almelo;10,8;13,2;0,0;0,0;0,0;0,0
NL:S:18500120;Sliepersdijk;Hoge Hexel;0,7;0,6;0,0;0,0;0,0;0,0
NL:S:18500140;Hammerweg;Vriezenveen;0,0;0,0;0,0;0,0;0,0;0,0
